route_id,source_node,source_type,destination_node,destination_type,supplier_id,origin_region,destination_region,warehouse_id,distance_km,transport_mode,base_cost,estimated_time_days,risk_level,is_active
R-001,S-001,Supplier,WH-SOUTH-01,Warehouse,S-001,South,South,WH-SOUTH-01,172,Road,8300,2,Low,Yes
R-002,S-001,Supplier,WH-WEST-01,Warehouse,S-001,South,West,WH-WEST-01,930,Rail,24300,5,Medium,No
R-003,S-001,Supplier,WH-EAST-01,Warehouse,S-001,South,East,WH-EAST-01,1391,Air,82500,2,Medium,Yes
R-004,S-002,Supplier,WH-SOUTH-01,Warehouse,S-002,South,South,WH-SOUTH-01,128,Road,6800,1,Low,Yes
R-005,S-002,Supplier,WH-NORTH-01,Warehouse,S-002,South,North,WH-NORTH-01,1574,Rail,35000,8,Medium,Yes
R-006,S-003,Supplier,WH-WEST-01,Warehouse,S-003,West,West,WH-WEST-01,152,Road,8900,2,Low,Yes
R-007,S-003,Supplier,WH-NORTH-01,Warehouse,S-003,West,North,WH-NORTH-01,1185,Rail,29600,7,High,Yes
R-008,S-004,Supplier,WH-WEST-01,Warehouse,S-004,West,West,WH-WEST-01,129,Road,7000,2,Low,Yes
R-009,S-004,Supplier,WH-NORTH-01,Warehouse,S-004,West,North,WH-NORTH-01,1201,Rail,28400,6,High,Yes
R-010,S-004,Supplier,WH-EAST-01,Warehouse,S-004,West,East,WH-EAST-01,1761,Road,63000,4,High,Yes
R-011,S-005,Supplier,WH-WEST-01,Warehouse,S-005,West,West,WH-WEST-01,267,Road,10100,1,Low,Yes
R-012,S-005,Supplier,WH-SOUTH-01,Warehouse,S-005,West,South,WH-SOUTH-01,728,Road,26800,4,High,Yes
R-013,S-005,Supplier,WH-NORTH-01,Warehouse,S-005,West,North,WH-NORTH-01,1060,Air,72800,2,Medium,Yes
R-014,S-006,Supplier,WH-WEST-01,Warehouse,S-006,West,West,WH-WEST-01,230,Road,11000,1,Medium,Yes
R-015,S-006,Supplier,WH-EAST-01,Warehouse,S-006,West,East,WH-EAST-01,1400,Air,108700,1,High,Yes
R-016,S-007,Supplier,WH-NORTH-01,Warehouse,S-007,North,North,WH-NORTH-01,94,Road,5700,2,Low,Yes
R-017,S-007,Supplier,WH-SOUTH-01,Warehouse,S-007,North,South,WH-SOUTH-01,1495,Rail,29500,5,High,Yes
R-018,S-007,Supplier,WH-EAST-01,Warehouse,S-007,North,East,WH-EAST-01,859,Rail,20400,5,High,Yes
R-019,S-008,Supplier,WH-EAST-01,Warehouse,S-008,East,East,WH-EAST-01,107,Rail,8300,3,Low,Yes
R-020,S-008,Supplier,WH-SOUTH-01,Warehouse,S-008,East,South,WH-SOUTH-01,1372,Road,38800,4,Medium,Yes
R-021,S-009,Supplier,WH-WEST-01,Warehouse,S-009,West,West,WH-WEST-01,182,Road,8400,1,Low,Yes
R-022,S-009,Supplier,WH-EAST-01,Warehouse,S-009,West,East,WH-EAST-01,1762,Road,46400,4,Medium,Yes
R-023,S-010,Supplier,WH-EAST-01,Warehouse,S-010,East,East,WH-EAST-01,209,Road,8500,1,Low,Yes
R-024,S-010,Supplier,WH-WEST-01,Warehouse,S-010,East,West,WH-WEST-01,1353,Road,43600,4,Medium,Yes
R-025,S-011,Supplier,WH-SOUTH-01,Warehouse,S-011,South,South,WH-SOUTH-01,239,Road,10600,1,Low,Yes
R-026,S-011,Supplier,WH-EAST-01,Warehouse,S-011,South,East,WH-EAST-01,1097,Rail,23300,7,Medium,Yes
R-027,S-012,Supplier,WH-SOUTH-01,Warehouse,S-012,West,South,WH-SOUTH-01,858,Road,20200,5,High,Yes
R-028,S-012,Supplier,WH-WEST-01,Warehouse,S-012,West,West,WH-WEST-01,278,Road,11300,1,Low,Yes
R-029,S-012,Supplier,WH-NORTH-01,Warehouse,S-012,West,North,WH-NORTH-01,1240,Road,39200,6,Medium,Yes
R-030,S-013,Supplier,WH-SOUTH-01,Warehouse,S-013,South,South,WH-SOUTH-01,139,Road,7600,1,Medium,Yes
R-031,S-013,Supplier,WH-NORTH-01,Warehouse,S-013,South,North,WH-NORTH-01,1408,Road,48100,6,High,Yes
R-032,S-013,Supplier,WH-WEST-01,Warehouse,S-013,South,West,WH-WEST-01,1007,Air,71700,1,Medium,Yes
R-033,S-014,Supplier,WH-EAST-01,Warehouse,S-014,East,East,WH-EAST-01,178,Air,26900,2,Low,Yes
R-034,S-014,Supplier,WH-SOUTH-01,Warehouse,S-014,East,South,WH-SOUTH-01,1060,Road,32000,5,Medium,Yes
R-035,S-015,Supplier,WH-EAST-01,Warehouse,S-015,East,East,WH-EAST-01,207,Road,9800,2,Low,Yes
R-036,S-015,Supplier,WH-NORTH-01,Warehouse,S-015,East,North,WH-NORTH-01,929,Rail,25500,6,Medium,Yes
R-037,S-016,Supplier,WH-SOUTH-01,Warehouse,S-016,South,South,WH-SOUTH-01,271,Rail,11000,3,Low,Yes
R-038,S-016,Supplier,WH-WEST-01,Warehouse,S-016,South,West,WH-WEST-01,616,Air,64400,2,Low,Yes
R-039,S-017,Supplier,WH-WEST-01,Warehouse,S-017,West,West,WH-WEST-01,125,Air,24900,1,Low,Yes
R-040,S-017,Supplier,WH-NORTH-01,Warehouse,S-017,West,North,WH-NORTH-01,960,Road,32600,5,Medium,Yes
R-041,S-018,Supplier,WH-WEST-01,Warehouse,S-018,West,West,WH-WEST-01,111,Road,6600,1,Medium,Yes
R-042,S-018,Supplier,WH-SOUTH-01,Warehouse,S-018,West,South,WH-SOUTH-01,1016,Road,29000,5,High,Yes
R-043,S-019,Supplier,WH-SOUTH-01,Warehouse,S-019,South,South,WH-SOUTH-01,231,Rail,9400,3,Low,Yes
R-044,S-019,Supplier,WH-NORTH-01,Warehouse,S-019,South,North,WH-NORTH-01,1893,Rail,42500,8,Medium,Yes
R-045,S-020,Supplier,WH-SOUTH-01,Warehouse,S-020,South,South,WH-SOUTH-01,165,Road,8200,2,Low,Yes
R-046,S-020,Supplier,WH-WEST-01,Warehouse,S-020,South,West,WH-WEST-01,779,Road,22500,4,Medium,Yes
R-047,S-021,Supplier,WH-NORTH-01,Warehouse,S-021,North,North,WH-NORTH-01,182,Road,8200,1,Low,Yes
R-048,S-021,Supplier,WH-SOUTH-01,Warehouse,S-021,North,South,WH-SOUTH-01,1543,Air,106600,2,Medium,Yes
R-049,S-022,Supplier,WH-EAST-01,Warehouse,S-022,East,East,WH-EAST-01,262,Road,12900,2,Low,Yes
R-050,S-022,Supplier,WH-SOUTH-01,Warehouse,S-022,East,South,WH-SOUTH-01,957,Air,67600,1,Medium,Yes
R-051,S-023,Supplier,WH-EAST-01,Warehouse,S-023,East,East,WH-EAST-01,208,Air,30500,1,Low,Yes
R-052,S-023,Supplier,WH-NORTH-01,Warehouse,S-023,East,North,WH-NORTH-01,853,Road,23200,2,Medium,Yes
R-053,S-024,Supplier,WH-NORTH-01,Warehouse,S-024,North,North,WH-NORTH-01,269,Road,10400,2,Low,Yes
R-054,S-024,Supplier,WH-EAST-01,Warehouse,S-024,North,East,WH-EAST-01,953,Rail,21100,7,High,Yes
R-055,S-025,Supplier,WH-NORTH-01,Warehouse,S-025,North,North,WH-NORTH-01,226,Road,10500,1,Low,No
R-056,S-025,Supplier,WH-EAST-01,Warehouse,S-025,North,East,WH-EAST-01,957,Road,33600,6,Medium,Yes
